,id,place
0,1,kottawa
1,2,moratuwa
2,3,colombo 10
3,4,colombo 6
4,5,colombo 8
5,6,hanwella
6,7,boralesgamuwa
7,8,kesbewa
8,9,athurugiriya
9,10,colombo 15
10,11,talawatugoda
11,12,colombo 5
12,13,colombo 7
13,14,colombo 9
14,15,avissawella
15,16,maharagama
16,17,malabe
17,18,battaramulla
18,19,wellampitiya
19,20,colombo 2
20,21,kaduwela
21,22,piliyandala
22,23,mount lavinia
23,24,dehiwala
24,25,homagama
25,26,kohuwala
26,27,colombo 14
27,28,pannipitiya
28,29,padukka
29,30,rajagiriya
30,31,nugegoda
31,32,kotte
32,33,ratmalana
33,34,angoda
34,35,nawala
35,36,kolonnawa
