,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Property type:,Beds:,Baths:,
1,Clean Rooms in Kataragama/ Romana Rest,30 Jun  8:51 am,"Kataragama, Moneragala","2,000","Romana Rest is the perfect place to stay at Kataragama. Located on Navakirirvehera Road,  just 500 meters away from Kirivehera and 900 meters to Maha Devalaya. The 2 storied property consists of 4 double rooms and 4 family rooms with en-suite bathrooms. Ample parking space, balcony area available. Meals can be provided upon request.Double Room  Rs.2000/- Rs.3500/Family Room   Rs.2500/- Rs.4000/",Holiday bungalow,8,8,
2,"['Clean Rooms in Kataragama/ Romana Rest', '30 Jun  8:51 am', 'Kataragama, Moneragala', '2,000', 'Romana Rest is the perfect place to stay at Kataragama. Located on Navakirirvehera Road,  just 500 meters away from Kirivehera and 900 meters to Maha Devalaya. The 2 storied property consists of 4 double rooms and 4 family rooms with en-suite bathrooms. Ample parking space, balcony area available. Meals can be provided upon request.Double Room  Rs.2000/- Rs.3500/Family Room   Rs.2500/- Rs.4000/', 'Holiday bungalow', '8', '8']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,Comfortable Clean Rooms - Kataragama,25 Jun 11:26 am,"Kataragama, Moneragala","2,000",we are near to kiriwehera on sella road 1.5km from kataragamOUR FACILITY ARE2 big beds in each room6 person facility each roomattach bath roomcocking facilitygas facilitygarden with grasscar parking spacedialog tvcocking equipment,Seasonal room,2,1,
4,Amarasinghe Guest Kataragama,10 Jul  5:56 pm,"Kataragama, Moneragala","5,000",සාමකාමී වටපිටාවක පිහිටා  ඇත. සුව පහසුවෙන් නවාතැන් ගනීමට පහසුකම් ඇත.,"ගම්උදාව පාර, කතරගම (පැල තවාන ඉදිරිපිට)",Seasonal room,5,2
5,Kataragama Rooms, 7 Jul  1:27 pm,"Kataragama, Moneragala","3,000",#.Comfortable  Ac & Non Ac rooms.#.  Attached bathrooms.#. Walking distance from sacred places. #. Home cooked food.#. Ample parking space. Non Ac Room Rs.3000/- Rs.4000/Ac Room         Rs.4000/- Rs.5000/,Holiday bungalow,7,7,
6,ගාල්ලේ ගෙදර Family Cottage - Katharagama, 5 Jul  4:32 pm,"Kataragama, Moneragala","3,500",සුවපහසුවෙන් නවාතැන් ගැනීමට නවීන නිවසක නවාතැන් පහසුකම් ඇත...The perfect place to stay at Kataragama. Clean & comfortable accommodation in city limits with family rooms & a single room. Just 500 meters from the city centre and walking distance to Kirivehera & Devalaya. ,"නො.41, සෙල්ල පාර, කතරගම (No.41, Sella Road, Katharagama)",Holiday bungalow,3,3
7,Seasonal Rooms holiday - Kataragama, 7 Jul  3:07 pm,"Kataragama, Moneragala","1,000",1 Room Starting price 1000/- for 1 guest & price rage upto 6000/- for 6 guests for AC / Non AC. Call & get discounted price as per ur packages. Price may be vary season / week ends. 1Km from town & hotel in Sella Main road. 1Km to Kataragama & sella kataragama Dewaka. With AC / NON AC rooms upto 50 guests accommodation with 10 rooms with attached bathrooms. Yala Safari Jeep / meals / foods / any kind of drinks / transport Bicycle rent / sport - games areas with equipment / exercise machines. Taxi services Available for 24 hours.,"3km Kanuwa(Maliagama), Sella Road, Kataragama",Seasonal room,10+,10+
8,Family Rooms in Kataragama,20 Jul 11:18 am,"Kataragama, Moneragala","2,500",We Just Near to Kiriwehera and 1.5 Km from Kataragama Town.Our Facility Are6 Person in Each Room3 Double Beds Each RoomAttach Bath RoomDialog T.VCocking FacilityGas FacilityCocking EquipmentGarden with GrassDrink TableCar Parking Space\Driver Room Facility,Holiday bungalow,3,1,
9,Rooms for rent in Kataragama | Rock house Hotel, 3 Jul  9:00 pm,"Kataragama, Moneragala","1,000",Rooms for rent in Kataragama | Rock house Hotel ,"No.52, Dutugamunu Road,  Kataragama",Seasonal room,10,10
10,Holiday Homes in - Katharagama, 2 Jul  8:29 pm,"Kataragama, Moneragala","2,500",piyum villa rest provides low rates of accommodation for guests. This budget bungalow located near the kiri vehera and dewalaya . Rooms come with attached bathrooms. kitchen facility and inside parking available.surrounded with a paddy fieldRoom rates Rs.2500/..Full bungalow Rs.5500/-,"piyum villa rest,sella katharagama road,katharagama",Holiday bungalow,4,2
11,A/C Cottage rent - Kataragama, 2 Jul 12:00 pm,"Kataragama, Moneragala","6,500","උත්සව සමයේ කතරගම එන ඔබ සඳහා නිදහස් පරිසරයක පිහිටි සෙනුරි holiday resort හි දහ දෙනෙක සඳහා  නවාතැන් ගැනීමට කාමර තුනක් හා සාලය සමඟ cottage පහසු කම් සාධාරණ මිල ගණන් යටතේ ලබා ගත හැක .A/C cottage රුපියල් 9500 , NON A/C 6500.ඇතුලත කාමර තුනක් හා නවීන පන්නයේ නාන කාමරයක් , කුඩා සාලයක් හා පිටත නෑමට හා වැසිකිලි පහසුකම් ,කෑම උයා පිහා ගැනීම සඳහා මුළුතැන් ගෙයක් .ඔබගේ සිතැඟි පරිදි නිදහසේ ඔබගේ විවේකය ගත කිරීමට පහසු කම් .තිස්ස කතරගම ප්‍රධාන මාර්ගයේ වැඩසිටි කන්ද මංසන්ධියේ පිහිටා ඇත .පූජා භූමියට km 1.5 දුරින් පිහිටා ඇත .යාල හා කැබිලිත්ත කුඩා කතරගම දේවාලය වැඳ පුදා ගැනීම සඳහා සෆාරි ජීප් රථ පහසු මිල ගණන් යටතේ ලබා ගත හැක .","no.111,දෙටගමුව ,කතරගම.",Holiday bungalow,3,1
12,Family Comfortable A/C Rooms for Rent - Kataragama, 1 Jul 11:43 am,"Kataragama, Moneragala","3,500",we in sella road near to kiriwehera.1.5 km from kataragama town.\OUR FACILITY ARE3 double beds6 person in each room a/c and dialog T.Vgarden with grassdrinking tablecooking facilitycooking equipmentgas facilitydriver room facilitycar parking spaceface to sella roadshop near by,sella road,Seasonal room,3,1
13,Comfortable Villa For Rent - Kataragama, 1 Jul 11:22 am,"Kataragama, Moneragala","3,500",we just near to kiriwehera. 1.5 km from kaqtaragama town.clean and comfortable villaOUR FACILITY ARE12 person in villatwo bath room two roomscooking facilitydialog t.vgarden with grassdrink  tablecooking equipmentcar parking spaceface to the sella roadshop near bydriver room facilityclean and comfortable,sella road,Apartment,4,2
14,Katarama Budget Rooms/ Kataragama House,30 Jun  1:49 pm,"Kataragama, Moneragala","1,250",Kataragama RoomsIdeal place for budget guests to stay at Kataragama. 2 km from Maha Devalaya and Sella Kataragama. The 5 bedroom house with 5 attached bathrooms. Kitchen facility available. Can stay 30 guests with sharing facility.  Facing to Sella main road. Parking space.Room rates Rs.1250/- Rs.2000/Full house Rs.8000/- Rs.15000/,Holiday bungalow,5,5,
15,Beautiful Resort – 5 Min to Kataragama Town,30 Jun  7:57 am,"Kataragama, Moneragala","3,500",Theja Lake View Resort is conveniently situated very close to Town Centre and famous Kataragama Devalaya.,Theja Lake View  Resort - 5 min to Devalaya,Seasonal room,9,9
16,"Three Bed Rooms Bungalow , Katharagama",28 Jun  3:40 pm,"Kataragama, Moneragala","12,500","Consists three bed rooms with kitchen , Dinning and Living roomsSpecious garden space3km away from Maha DewalayaCook / Care taker / Meals availableCan sleep 12 pax at once comfortablyAc or Non AC rooms or whole bungalowContact us for more info","Sithulpauwwa Road,Katharagama",Holiday bungalow,3,3
17,Rooms Rent in Kataragama | Isuru Resort,25 Jun  2:41 pm,"Kataragama, Moneragala","1,000",Rooms rent in Kataragama | Isuru Resort,Kataragama,Seasonal room,10+,10+
18,COmfortable Family Room - Kataragama,25 Jun  1:29 pm,"Kataragama, Moneragala","2,500",we just 1.5 km from kataragama town .near to the kiriwehara. our facility6 person in each room3 double beds in each roomattach bath roomcooking facilitycar parking spacedrinking tablesgarden with grassfull tiles,sella road,Seasonal room,3,1
19,Comfortable Clean Rooms - Kataragama,25 Jun 11:26 am,"Kataragama, Moneragala","2,000",we are near to kiriwehera on sella road 1.5km from kataragamOUR FACILITY ARE2 big beds in each room6 person facility each roomattach bath roomcocking facilitygas facilitygarden with grasscar parking spacedialog tvcocking equipment,Seasonal room,2,1,
20,සමිත නිවහන - කතරගම,24 Jun  2:47 pm,"Kataragama, Moneragala","2,500",කතරගම පුදබිමට ආසන්නයේ පිහිටි සොදුරු නවාතැන සමිත නිවහන. ඔබගේ කතරගම වන්දනා ගමන සඳහා කදිම නවාතැන්පල. 2000 සිට 2500 දක්වා මිලගණන් යටතේ ලබාගත හැක.,"No.178 , Gammuda handiya , Tissa Road , Kataragama.",Holiday bungalow,5,5
21,Hotel in Kataragama,21 Jun  4:53 pm,"Kataragama, Moneragala","7,500","20 rooms hotel in Kataragama,family rooms,thrible beds rooms,& double rooms,all the rooms are Ac and with the hot and cold water,play screen tv,safety looks,swimming pool,restaurant,yala safari jeep service,free WiFi,ten minutes works to the Kataragama dewala & kiriwehra temple,accommodations and food free of charge for the driver.",Seasonal room,5,1,
22,"A/c, Non A/c Rooms for Rent in Katragama",25 Jun  9:43 am,"Kataragama, Moneragala","3,500",W JUST NEAR TO THE KIRIWEHERA AND  DEWALE.WE JUST 1 KM FROM KATARAGAMA  TOWN.OUR FACILITY3 DOUBLE BEDS IN EACH ROOM6 PERSON IN EACH ROOM FACILITYCOOKING FACILITYGAS FACILITYGARDEN WITH GRASSDRINK TABLESCAR PARKINGDAILOG T.VFACE TO THE SELLA ROADCOOKING EQUIPMENT,SELLA ROAD,Apartment,3,1
23,Holiday Bungalow in Kataragama,13 Jun 12:14 pm,"Kataragama, Moneragala","12,500","Three bed rooms with kitchen ,Dinning and Living rooms Can sleep 12 pax comfortably at onceCook / Care taker / Meals available","Sithulpauwwa Road,Katharagama",Holiday bungalow,3,3
24,A/C Holiday Bungalow Kataragama, 1 Jul  2:35 pm,"Kataragama, Moneragala","8,000","2 BED ROOMS WITH A/C ,2 ATTACH BARTH ROOMS, IDEAL PLACE TO RELAX AND SPEND YOUR HOLIDAY VACATION..JUST IN FRONT OF THE GOYAGALA LAKE AND CAN GET THE COOLING BREESE .","GOYAGALA LAKE ROUND,GAMUNUP URA,KATARAGAMA",Holiday bungalow,6,2
25,Holiday Rooms in Kataragama,12 Jun  9:14 am,"Kataragama, Moneragala","1,500",Near to Sella Kataragama. Large Parking Lot. Food and Grocery Stores. Kitchen included. Private Bathrooms. Veranda and Outdoor Seating Available.,"Gamini Pura, Kataragama",Seasonal room,10,10
26,Family Villa with 2 Rooms - Kataragama,25 Jun  9:43 am,"Kataragama, Moneragala","4,000",we just  1.5 km from kataragama town near to the kiriweheraour facilitydriver bed facility12 person beds facility in villa2 roomsdialog T.V facilitycooking facilitygas facilitycooking equipmentdriver room facilitygarden with grassdrinking table car parking facilityshop near by,sella road,Apartment,4,2
27,Ac and Non Family Rooms for Rent in Katharagama,12 Jun  2:29 pm,"Kataragama, Moneragala","3,500","Ideal for those travelling to Katharagama Kiriwehera and Dewalaya,  Sella Katharagama, Wadasitikanda, Situlpwwa, Kirinda rock temple, Tissamaharama Rajamahaweharaya , Can be arranged Safari vehicles under reasonable rates,                  Family Ac Rooms with free WiFi , Tv, Hot water,  Ro Sweet Water, Mini Bar,  Rs,  3500/ to Rs, 6500/ far night,                   We have  Non Ac Bungalow with Mosquito net and Ceiling fan, Fridge, Tv, and Cooking facilities can be accommodated up 15  Guests,  Rs, 5500 to 8000//","No - 115, Detagamuwa Katharagama",Seasonal room,10+,10+
28,Holiday Bungalows for Short term Rent in Kataragama, 3 Jun  1:54 am,"Kataragama, Moneragala","5,500",We have 3 bungalows 500m away from the kataragama city area.,Holiday bungalow,4,4,
29,Clean Rooms in Kataragama/ Romana Rest,30 Jun  8:51 am,"Kataragama, Moneragala","2,000","Romana Rest is the perfect place to stay at Kataragama. Located on Navakirirvehera Road,  just 500 meters away from Kirivehera and 900 meters to Maha Devalaya. The 2 storied property consists of 4 double rooms and 4 family rooms with en-suite bathrooms. Ample parking space, balcony area available. Meals can be provided upon request.Double Room  Rs.2000/- Rs.3500/Family Room   Rs.2500/- Rs.4000/",Holiday bungalow,8,8,
30,A/c Family Rooms - Kataragama,25 Jun 11:59 am,"Kataragama, Moneragala","3,500",we just near kiriweheraOUR FACILITY ARE6 person in each room3 doubles beds each roomdialog t.vcooking facilitygas facilityDRIVER ROOMgarden with grasscar parking facilitydrink tablesface to sella road,sell road,Apartment,3,1
31,A/c Family Rooms - Kataragama,25 Jun 11:59 am,"Kataragama, Moneragala","3,500",we just near kiriweheraOUR FACILITY ARE6 person in each room3 doubles beds each roomdialog t.vcooking facilitygas facilityDRIVER ROOMgarden with grasscar parking facilitydrink tablesface to sella road,sell road,Apartment,3,1
32,Comfortable Family Rooms Kataragama,25 Jun  9:43 am,"Kataragama, Moneragala","2,500",we just near to kiriwehera. 1km from kataragama town.OUR FACILITY ARE6 person in each room3 double bedsdialog t.v cooking facilitygas facilitygarden with grassDRIVER BED FREE roomcar parking spacenear to kiriweheralocation point in googles map easy to find locationface to sella road,Apartment,3,1,
33,Clean Rooms in Kataragama/ Romana Rest,30 Jun  8:51 am,"Kataragama, Moneragala","2,000","Romana Rest is the perfect place to stay at Kataragama. Located on Navakirirvehera Road,  just 500 meters away from Kirivehera and 900 meters to Maha Devalaya. The 2 storied property consists of 4 double rooms and 4 family rooms with en-suite bathrooms. Ample parking space, balcony area available. Meals can be provided upon request.Double Room  Rs.2000/- Rs.3500/Family Room   Rs.2500/- Rs.4000/",Holiday bungalow,8,8,
34,"Wild Holiday Bungalow for Rent at Situlpawwa Road, Kataragama",10 Jul  1:51 pm,"Kataragama, Moneragala","2,000","Wild Wild Holiday Bungalow at Situlpawwa Road, Kataragama for nature lovers with all amenities. A/C rooms with attached bathrooms. Cooking facilities also available.Ideal for those travelling to Kataragama, Yala National Park, “Wedasitikande”, Tissamaharama, Sithulpahuwa Ancient Monastery, Magulmahavihara Ruins, Galge National Park, Lunugamvehera National Park and Kirinda Rock Temple.01 Km to Kataragama Devalaya -15 minutes to the ‘Katagamuwa’ entrance of the Yala National Park, Yala safari vehicle service can be arranged under reasonable rates.RATES","Wild Wild Holiday Bungalow, Situlpawwa Road, Kataragama",Holiday bungalow,10+,10+
